~~Output Dialog~~|~~Respect of User (OD)~~|~~Input Dialog~~
 Top of the world? Dock of the bay?  I'm out. |5| What am I sitting on? 
 Oh! Look at that, time's up! My turn! |7| I can't believe we've never done this before! It's sooo good! So good for Monica!  
  Wow! Listen, we had a good run. What was it? Four? Five months? I mean, that's more than most people have in a lifetime! So, good-bye, take care, bye-bye then!  |6| Chandler!!! Chandler!!!  Chandler, I saw what you were doing through the window! Chandler, I saw what you were doing to my sister! Now get out here! 
 Hey! |8| Hey! 
 Okay.  |5| Okay, pick a card. 
 Hey! |8| Hey! 
 I'm sorry! |0| That is it! You just barge in here, you don't knock 
 Hi, my names Chandler. I just moved in next door and I was wondering if you would be interested in battling me in a post-apoplectic world for control of the galaxies last remaining energy source? |7| Hey. 
 Sydney Portier? Hehheh. _B_ |9|  Okay, great! Bye.  So guess whos coming to Thanksgiving dinner? 
 This coming from the man who couldnt split our 80 dollar phone bill in half.  |2| Okay Rach, that muffin and espresso, $4.50. Ross, double latte, $2.75. Chandler, coffee and a scone, $4.25. And Pheebs, herbal tea, $1.25. So, all together thats  $12.75. 
 Yeah. |6| Hey, remember when I had a monkey? 
 Ahh, Hotties of the Paleontology Department, theres a big selling calendar, eh? |3| Hey! I just got uh, my teacher evaluations! Check out what this one student wrote, "I loved Dr. Gellers class. Mind blowing lectures! Dr. Geller, you are definitely the hottie of the paleontology department!" 
 Okay. |5| Okay, Chandler! 
 Hey! |8|  Hi, you guys. 
 Hey. |8| Hey, whats going on? 
 No, no, no. No-no-no. Joey, Rachel, and |7|  Hey everybody! Happy Thanksgiving! 
 Do you realize you get louder each week? |7| Do you realize that four weeks from today were getting married? Four weeks baby!! Four weeks!!! 
 Hey.  |8| Hey. 
 New haircut?  Necklace?  Dress?  Boots?  Boots! |6| Hey! So what do you think? 
 Oh my goodness! Where did you hide it? |5| Hey! I got you a present!! 
 Hi! |9| And that's why, no matter what mommy says, we really were on a break.  Yes we were! Yes we were!  Come here gorgeous.  Oh! Look at you! You are the cutest little baby ever! You're just a... a little bitty baby, you know that? But you've got...  You've got big beautiful eyes... Yes you do... and a... and a big round belly.  Big baby butt! I like big butts.  I like big butts and I cannot lie / you other brothers can't deny / when a girl walks in with an itty, bitty, waist / and a round thing in your face you get... Oh my God, Emma... you're laughing! Oh my God, you've never done that before, have you? You never done that before... Daddy made you laugh, huh? Well, daddy and Sir Mix Alot... What? What? You... you wanna hear some more? Uhm... My anaconda don't want none / unless you got buns hon...  I'm a terrible father!  _B_ 
 Yeah. Hey! Here's an idea. Why don't we use our wedding china today? |5| Hey Hon? Would you help me get the plates down? 
 Because I told everyone he slept with dinosaurs. |4| Alright, wait a second, why would Ross tell everyone in your class that you are as...  "gay as the day is long"? 
 Hello? Oh hi, Doctor Connelly.  No, she's not here but, you know, I can tell her. Should I be sitting down for this?  Oh.  Well, so what does that mean?  Ok. Ok, thank you. Thanks.   |1|  It is not okay that I'm aroused by this now.  
 Hey! Look I brought a friend for dinner, this is Zack, from work! |6| Hi honey! 
 You know, I'd love to, but I'm a little tired. |1| Oh, the way you crushed Mike at ping pong was such a turn-on.You wanna...?  
 How did the job stuff go? |3| Previously on Friends... 
 Spanish midgets. Spanish midgets wrestling. Julie. Ok, yes, I see how you got there.  |7| Man, I sure miss Julie. 
 Alright, alright, but you better be wearing clothes when I open my eyes. |3| Alright, no peeking. No peeking, no peeking, no peeking. 
  See Joe, that's why your parents told you not to jump on the bed. Opening Credits _B_ |5|  WHOAA!! 
 You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom... |7|  Ooh! Look! Look! Look! Look, there's Joey's picture! This is so exciting! 
 I will have one.   |5| Here you go Pheebs. Who else wants one of my special homemade brownies? 
 Oh yeah, but don't worry. I don't think anybody's gonna focus on that as long as your wearing that towel dress. |5|  Okay. Hey. Umm. Does everybody hate these shoes? 
 This is the New York Times. |9| Can I see the comics? 
 Or... Dick. |9| Hey, wouldn't be cool if our duck and chick had a little baby? We could call it Chuck. 
   Hi there.  |9|  Oh, and then Monica joked that she wouldnt go out with a guy like Chandler... 
 Oh no-no-no, Im, Im paddling away! |4| Hey!! We are so in luck! Treeger said that we could have all this cool stuff from the basement. Wait right there.  
 Yeah, it was time. The old condom ring in the leather just doesnt say cool anymore. |1| Hey! New wallet, huh? 
  Hey, its me. I know you cant stand to be in the same room as me, so I just thought Id try and apologize over the phone. All I    |1|  Hello. 
 Hey! Wow, it is true what they say, pregnant bellies look like a drum. |6| Hey! 
 That's a pig. |8| No, look.  
  We're very happy for you. |9| All right! Here we go! 1999! The year of Joey! 
 Hey man, what's up? |6| Oh, yeah, good idea.  
  Yeah, see, I can't pull of baby-doll can I? |6| I'm fine, thanks. 
 First of the month. |5| Right! And when is that due? 
 Any contact? |3| She barely knows me. We just live in the same building. 
 No, I dont want to tell anybody else because I dont want Monica to find out. |1| Now, have you told anyone else? 
 So, what do you think? |4| Hey! 
 Someone on the subway licked my neck! Licked my neck!! |0| Whats the matter? 
 Its Phoebe! Hi!  |9| Theres the waitress. Excuse me, Miss. Hello, Miss?  
 betrothed couple. |8| Betrothed  
 Hey, you have got to try this cheesecake. |4|  Hi. 
 So did Monica tell you about this great band called the Swing Kings that were trying to get to play at the wedding? |5| Food? Uh-huh gimme!  
 Yep! From now on its gonna be the four of you guys and me and the mrs. The little woman. The wife. The old ball and chain. |7| Why?! Whats happening to the coffee house?!  Oh!  
  Bermuda, Bahama, come on pretty mama |1| Yeah I am! 
 Honey, you're screaming. |5|  I LOVE MY NEW JOB! 
 What? Why? |1| Dude, come home! 
 I'm not sure what they did, but I'm inclined to blame Enron. |0| I know...God. I haven't seen my savings take a hit like this since I was a kid and they came up with double-stuffed Oreos. What happened to all our money? 
 Yeah, I don't know why we hang out with married couples more often. |6| Oh! Yeah, this is fun, couples night. 
 Well it couldn't have been worse. A woman literally passed through me. Okay, so what is it, am I hideously unattractive? |0| So, how was the party? 
 Hey. |8| Hey. 
 The spoon. You licked and-and you put. You licked and you put. |6| What? 
 Why? |4| Nothin' roomie, just watchin' you sleep. 
 Yeah, but I'm, I'm so much faster... |6| Oh, I ordered mine first. 
 Okay, Im not gonna have one. |2| I will have one.   
 Well, as old as he is in dog years, do you think Snoopy should still be allowed to fly this thing? |2| What? 
 Oh, great. This is just...  Opening Credits _B_ |4| Hi. Um, I want to start with a song thats about that moment when you suddenly realize what life is all about. OK, here we go.  OK, thank you very much. _B_ 
 Tell it again.  Seriously. _B_ |4| All right, I was 15, it was my best friend, Ruth, and we got drunk on that hard cider, and then suddenly, I dont know, we were, we were making out. 
 You dont turn and slide, you throw it out! Im tired of having to get a tetanus shot every time I get dressed! |0| How many times do I have to tell you! Ya, turn and sliiiide! Y'know, turn and slide. 
 It just keeps getting worse and worse! Y'know? I mean its bad enough that Im in love with my roommates girlfriendwhich by the way, I think she knows. Because every time were in the room together theres this weird like energy between us. And call me crazy, but I think she likes me too. And now I have seen her naked. I mean at least when Ive seen her with clothes on, I could imagine her body was like covered in boles or something. But there are no boles, shes smooth! Smooth!   |1| Y'know if we ever go to war and youre captured, youre in for a big surprise. 
 Our eyes are closed and were about to cross the street. Very good. |8| Come on, no peeking!  
 I know!!  |4| People can hear you. 
 Thats a mailman! Thats our mailman!   Hi. How are ya? |9| Chandler, theres a guy right over there.  
 Treegers snaking the shower drain. Mr. |3|  What is that? 
 Uhh, 9.  |6| Monica? What time is it? 
 Aren't you supposed to be at an audition for another hour? |1| Look, just because I know about you two, doesn't mean I like looking at it. 
 It's your timer.  |8| That was a half an hour? 
 Oh, I'm going on the lamb. |3| What are you doing?! 
 Oh yes. |7| All right now, memorize it.  You got it? 
 Monica and I are celebrating our ten-month anniversary, we've got reservations at Ja George. |4| Wow! You look nice. What's the occasion? 
 Rachel, wait, wait. |6| You have no respect for anybody's privacy! 
 What? |4| When?! After the birth of our first secret child?!  Ross didnt get the annulment; we are still married. 
 So, is Janine around? |3| Sure, neighbor come on in. 
 Oh! Thats great, they havent seen the place since I moved in! _B_ |5|  I miss Rachel.  No, my parents. 
  Oh, well thank you in advance.  |9| And your horoscope says, "On the fifth a special someone is going to give you a gift." 
 Okay, well tonights the big night. |7| Yeah, you didnt get one. 
 Okay, let me just straighten out your helmet there.  |6| Uh-huh! 
 I figured Id buy those. Pat, Id like to buy a vow.  |6| Theres still so much to do. Have you written your vows yet? 
 Yknow uh, I didnt actually do this. |5| Oh my God! You cleaned!  Look at these floors! You did the windows! Oh, I have been begging you for months and you did! You cleaned! And nagging works! 
 Oh my God! |4| Yes! Now, theyre a little more than I normally spend on boots or rent  
 Pheebs you didnt have to get us anything for our wedding you already sang |9| I got it for your wedding and I ordered it weeks ago, and it finally got here! 
 How come? |3| Hey... hey listen... What do you guys know about investments? 
 Honey, she keeps cancelling on us...Take the hint! |4| No, I think we should save our china for something really special...Like, if the Queen of England comes over. 
  Say goodbye elves, I'm off to Tulsa. |4|  Uh-huh. 
 Would you get that please? People have been calling to congratulate me all day. |6| But that's clearly a joke. This could easily be true.  
 Doctor Connelly just called. |3| Hey sweetie. 
 You're on!  |5| I'll put a pillowcase over my head. 
 Relax! We'll just get her some antacids. |1| Oh my God! 
 Relax! We'll just get her some antacids. |1| Oh my God! 
 I broke up with her. |2| So how was Joan? 
 No, see, I'm trying this new screening thing. You know, I figure if I'm always answering the phone, people'll think I don't have a life. My god, Rodrigo never gets pinned. |0| You ever figure out what that thing's for? 
 Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever. |0| Yeah, see.. you took mine. Chandler, what about you? 
 Believe me, sometimes that happens. MRS |3| If you didn't pour the coffee, no one would have anything to drink. 
 Well, I'm guessing he wants to do a little dance. . . ya know, make a little love. . . well pretty much get down tonight. |3| Oh really? What uh, what does he want with her? 
 Sweet mother of all that is good and pure. |9| Alright open your eyes. _B_ 
 We can? All right, I'm tryin' that. |9| Come on! You guys can pee standing up. 
 If I was a superhero who could fly and be invisible, that would be the best. |3| Oh good, another dinosaur story. When are those gonna become extinct? 
 I like her. |6| Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before. 
 Wow! Really?! We get all this rusty crap for free?! |6|  Huh?! 
 Ross and the most beautiful girl in the world. |9| Hey what are you guys looking at? 
 Look I never should have kissed your girlfriend, but Im    |3|  Hello. 
 Wow! She looks great. Doesnt she? |8| I know!!  
 All right. |5|  Ha-ha.  No, its just Im so pregnant that Imy guitar doesnt fit anymore. So I thought til Im not, Im just gonna play all my songs on this drum. It sounds really cool! 
 Hey!  |8| I know, I know, but look at the knobs on her.  
 We wanted to kiss at midnight, but nobody else is going to so y'know |2| What's the matter?! 
